iter	Passed	Remaining
412	3335	4740
413	3342	4731
414	3350	4722
415	3358	4714
416	3366	4707
417	3374	4698
418	3382	4690
419	3389	4681
420	3398	4673
421	3405	4664
422	3413	4655
423	3420	4647
424	3428	4638
425	3436	4629
426	3443	4621
427	3451	4612
428	3459	4604
429	3466	4595
430	3474	4586
431	3481	4578
432	3492	4572
433	3500	4565
434	3510	4559
435	3520	4553
436	3528	4545
437	3535	4536
438	3542	4527
439	3551	4519
440	3558	4510
441	3566	4502
442	3573	4493
443	3581	4484
444	3589	4476
445	3597	4468
446	3604	4458
447	3612	4450
448	3619	4441
449	3628	4434
450	3635	4425
451	3643	4417
452	3650	4408
453	3658	4399
454	3666	4391
455	3673	4382
456	3681	4374
457	3689	4365
458	3696	4357
459	3704	4348
460	3712	4340
461	3719	4331
462	3727	4323
463	3734	4314
464	3742	4305
465	3752	4299
466	3760	4291
467	3767	4282
468	3775	4274
469	3782	4265
470	3790	4256
471	3797	4248
472	3805	4239
473	3812	4230
474	3820	4222
475	3827	4213
476	3836	4206
477	3844	4198
478	3852	4190
479	3859	4181
480	3868	4174
481	3877	4166
482	3884	4158
483	3893	4150
484	3900	4142
485	3908	4133
486	3916	4125
487	3923	4116
488	3931	4108
489	3939	4100
490	3947	4092
491	3954	4083
492	3963	4076
493	3971	4067
494	3979	4059
495	3987	4051
496	3995	4043
497	4003	4035
498	4011	4027
499	4018	4018
500	4026	4010
501	4034	4001
502	4041	3993
503	4049	3985
504	4057	3976
505	4064	3968
506	4072	3959
507	4079	3951
508	4087	3943
509	4095	3935
510	4103	3926
511	4111	3918
512	4118	3909
513	4126	3901
514	4133	3893
515	4141	3884
516	4149	3876
517	4156	3867
518	4164	3859
519	4171	3851
520	4179	3842
521	4187	3834
522	4194	3825
523	4202	3817
524	4210	3809
525	4217	3800
526	4225	3792
527	4232	3783
528	4241	3776
529	4249	3768
530	4259	3762
531	4267	3754
532	4275	3745
533	4283	3738
534	4291	3729
535	4299	3721
536	4307	3713
537	4315	3705
538	4322	3696
539	4330	3688
540	4337	3680
541	4345	3671
542	4352	3663
543	4360	3654
544	4368	3646
545	4376	3638
546	4383	3630
547	4392	3623
548	4400	3615
549	4408	3606
550	4415	3598
551	4423	3590
552	4431	3581
553	4438	3573
554	4446	3565
555	4454	3556
556	4461	3548
557	4469	3540
558	4476	3531
559	4484	3523
560	4491	3514
561	4499	3506
562	4506	3498
563	4514	3489
564	4521	3481
565	4529	3473
566	4536	3464
567	4544	3456
568	4552	3448
569	4559	3439
570	4567	3431
571	4574	3423
572	4582	3414
573	4589	3406
574	4597	3398
575	4605	3390
576	4613	3382
577	4620	3373
578	4628	3365
579	4635	3357
580	4645	3349
581	4652	3341
582	4660	3333
583	4667	3324
584	4675	3316
585	4682	3308
586	4690	3300
587	4697	3291
588	4705	3283
589	4713	3275
590	4720	3266
591	4728	3258
592	4736	3250
593	4743	3242
594	4751	3234
595	4759	3225
596	4766	3217
597	4774	3209
598	4782	3201
599	4790	3193
600	4798	3185
601	4805	3176
602	4812	3168
603	4820	3160
604	4828	3152
605	4835	3144
606	4843	3136
607	4851	3127
608	4858	3119
609	4866	3111
610	4873	3102
611	4881	3094
612	4889	3086
613	4896	3078
614	4904	3070
615	4911	3061
616	4919	3053
617	4927	3045
618	4935	3037
619	4942	3029
620	4951	3021
621	4958	3013
622	4967	3005
623	4974	2997
624	4982	2989
625	4990	2981
626	4997	2973
627	5005	2964
628	5013	2956
629	5020	2948
630	5030	2941
631	5037	2933
632	5045	2925
633	5053	2917
634	5062	2909
635	5069	2901
636	5077	2893
637	5085	2885
638	5093	2877
639	5101	2869
640	5108	2861
641	5116	2852
642	5124	2844
643	5131	2836
644	5139	2828
645	5147	2820
646	5154	2812
647	5162	2804
648	5171	2797
649	5179	2788
650	5187	2780
651	5195	2772
652	5202	2764
653	5210	2756
654	5218	2748
655	5226	2740
656	5234	2732
657	5241	2724
658	5249	2716
659	5256	2708
660	5264	2699
661	5271	2691
662	5279	2683
663	5287	2675
664	5295	2667
665	5302	2659
666	5310	2651
667	5318	2643
668	5325	2634
669	5332	2626
670	5340	2618
671	5348	2610
672	5355	2602
673	5363	2594
674	5371	2586
675	5378	2578
676	5386	2569
677	5394	2561
678	5401	2553
679	5409	2545
680	5417	2537
681	5426	2530
682	5434	2522
683	5442	2514
684	5450	2506
685	5458	2498
686	5465	2490
687	5472	2481
688	5480	2473
689	5488	2465
690	5496	2457
691	5510	2452
692	5521	2445
693	5530	2438
694	5542	2432
695	5551	2424
696	5561	2417
697	5570	2410
698	5580	2402
699	5589	2395
700	5598	2387
701	5607	2380
702	5616	2372
703	5626	2365
704	5634	2357
705	5644	2350
706	5653	2342
707	5662	2335
708	5671	2327
709	5680	2320
710	5690	2312
711	5699	2305
712	5708	2297
713	5717	2290
714	5726	2282
715	5735	2275
716	5744	2267
717	5753	2259
718	5762	2252
719	5771	2244
720	5780	2236
721	5789	2229
722	5798	2221
723	5806	2213
724	5817	2206
725	5826	2199
726	5835	2191
