iter	Logloss
147	0.08603138839
148	0.08569142839
149	0.08548411303
150	0.08512701528
151	0.08479154115
152	0.08458251792
153	0.08433677277
154	0.08417813302
155	0.08391583601
156	0.08350845681
157	0.08326272126
158	0.08295109421
159	0.08269194914
160	0.08247868236
161	0.08221467536
162	0.08211645687
163	0.0819297868
164	0.08172795954
165	0.08149727633
166	0.08131675039
167	0.08107000399
168	0.08077232175
169	0.08060766249
170	0.0804862526
171	0.08014073991
172	0.07988969539
173	0.07965487682
174	0.07946710725
175	0.07921123994
176	0.07906964639
177	0.0787798415
178	0.07852218603
179	0.07828320285
180	0.07806878241
181	0.07789807467
182	0.07767117738
183	0.07734954823
184	0.07717529176
185	0.07678774399
186	0.07660689581
187	0.07647208574
188	0.07617251248
189	0.07593882289
190	0.07569535282
191	0.07553302459
192	0.07530496563
193	0.07504950681
194	0.07482514254
195	0.07442341149
196	0.07422258751
197	0.07391767327
198	0.07363189587
199	0.07354460726
200	0.07331197337
201	0.0730734292
202	0.07284220759
203	0.07264946041
204	0.07249649107
205	0.0723305863
206	0.07210962245
207	0.07195789547
208	0.07181416346
209	0.07167577515
210	0.07148574236
211	0.07130487923
212	0.0710047749
213	0.07076315043
214	0.07059087793
215	0.07042120511
216	0.07019658908
217	0.06992188826
218	0.06972557346
219	0.06958668712
220	0.0694063937
221	0.06920938227
222	0.06898171924
223	0.06869593404
224	0.06842032928
225	0.06829333758
226	0.06811308482
227	0.06795041427
228	0.06782767392
229	0.06766840435
230	0.06753358177
231	0.06738166633
232	0.06730311721
233	0.06723669478
234	0.06710190267
235	0.06683169291
236	0.06665630565
237	0.06655194438
238	0.06640395656
239	0.06627701767
240	0.06617992127
241	0.0660137169
242	0.06589708725
243	0.06574039179
244	0.06560260824
245	0.06531000802
246	0.06514348514
247	0.0650621008
248	0.06492690431
249	0.06471444118
250	0.06457277672
251	0.06446280915
252	0.06437603145
253	0.0642282502
254	0.06407843665
255	0.06388779202
256	0.06374449667
257	0.06363015994
258	0.06350769065
259	0.06336945302
260	0.06319845332
261	0.06299412275
262	0.06284263304
263	0.06268124023
264	0.06249405471
265	0.06231653459
266	0.06223195697
267	0.0621387425
268	0.06194343954
269	0.06179013143
270	0.06168238576
271	0.06153413289
272	0.06139970078
273	0.06127853498
274	0.06111701169
275	0.06095784008
276	0.06082419834
277	0.06066297347
278	0.06057351168
279	0.0604426139
280	0.06028377775
281	0.06006948018
282	0.05996432574
283	0.05988014358
284	0.05976710752
285	0.05960277758
286	0.05943701403
287	0.05931374418
288	0.05921249581
289	0.05912319715
290	0.05896733019
291	0.05883157653
292	0.0586720986
293	0.05861204354
294	0.05852438463
295	0.05839809589
296	0.05828545189
297	0.0581509889
298	0.05806722665
299	0.05801528739
300	0.05789282387
301	0.05778489653
302	0.05762175702
303	0.05736835961
304	0.05723646182
305	0.05711053695
306	0.05701443331
307	0.05693181584
308	0.05685313233
309	0.05673126486
310	0.05664560724
311	0.05657712363
312	0.05640514995
313	0.05634364591
314	0.05616076362
315	0.05603691098
316	0.05593711569
317	0.05583436444
318	0.05561605476
319	0.05548338815
320	0.05538962471
321	0.0552905208
322	0.05519272886
323	0.05507425001
324	0.05497349127
325	0.05477157875
326	0.05459179644
327	0.05448971522
328	0.05442742013
329	0.05427747146
330	0.05416782982
331	0.05406337269
332	0.05400093949
333	0.0538352071
334	0.05374143499
335	0.05351080625
336	0.05339657326
337	0.05326875434
338	0.05317166866
339	0.05303044062
340	0.0529841576
341	0.05283459919
342	0.05271082856
343	0.05267522988
344	0.05254800083
345	0.05246378875
346	0.05235871898
347	0.05224071985
348	0.05214174857
349	0.05202092475
350	0.05186947893
351	0.05180092686
352	0.05169240964
353	0.05163622032
354	0.05155419902
355	0.05142458379
356	0.05135885585
357	0.05119587274
358	0.05111790712
359	0.05103228626
360	0.05089024699
361	0.05080131588
362	0.05071113691
363	0.0505823077
364	0.05051187665
365	0.05045941161
366	0.05026211535
367	0.05015808876
368	0.05005970959
369	0.04998154205
370	0.04986266696
371	0.04977205989
372	0.0496612294
373	0.04958687238
374	0.04952018984
375	0.04943794658
376	0.04933585142
377	0.0492536481
378	0.04914379456
379	0.04903289111
380	0.04890180942
381	0.04879866291
382	0.04870108468
383	0.04857143444
384	0.04852667659
385	0.04841683196
386	0.04833331059
387	0.04824637305
388	0.04814834498
389	0.04803054151
390	0.04792572885
391	0.04771695189
392	0.04768693645
393	0.04758050098
394	0.04748396678
395	0.04739369592
396	0.04727904923
397	0.04719131165
398	0.04715006746
399	0.04709720012
400	0.04699442391
401	0.04689794092
402	0.04680066848
403	0.04673149928
404	0.0466751108
405	0.04653796154
406	0.04636976201
407	0.04625280709
408	0.0461825884
409	0.046095257
410	0.04604711778
411	0.04593684062
412	0.04582809635
413	0.0457953925
414	0.04572158942
415	0.04565002786
416	0.04556454983
417	0.04550111831
418	0.04544445498
419	0.04539242647
420	0.04531746745
421	0.04521536887
422	0.04514022153
423	0.04503585403
424	0.04495501639
425	0.04485024154
426	0.04479456972
427	0.04471184137
428	0.04464752024
429	0.04454930702
430	0.04444918651
431	0.0443539493
432	0.04428570426
433	0.04424646013
434	0.04412519906
435	0.04407279679
436	0.04402653331
437	0.0439047266
438	0.04386288738
439	0.04376672195
440	0.04370422475
441	0.04363836647
442	0.04353061695
443	0.04338971256
444	0.04330813236
445	0.04321239482
446	0.0431650805
447	0.04310326568
448	0.04302461537
449	0.04291566537
450	0.04282819376
451	0.04273803449
452	0.0426618095
453	0.04262466211
454	0.04253718073
455	0.04240074814
456	0.04224847954
457	0.04218475444
458	0.04209803942
459	0.04208001116
460	0.0419987033
461	0.04193466417
462	0.04184642827
463	0.0417986684
464	0.04172625391
465	0.04159017596
466	0.04151305025
467	0.04143582382
468	0.04139889747
469	0.04134147665
470	0.04126130159
471	0.04121317245
472	0.04115886184
473	0.04109304022
474	0.04102942535
475	0.04097434996
476	0.0408920599
477	0.04080854204
478	0.04074331854
479	0.04067383897
480	0.04066017084
481	0.04060763943
482	0.0405395188
483	0.04048482915
484	0.04042422921
485	0.04035989818
486	0.04029643926
487	0.04023296544
488	0.04017863319
489	0.04006035138
490	0.03998967836
491	0.03994363779
492	0.03988252407
493	0.0398161549
494	0.03972698501
495	0.03966311516
496	0.03961686169
497	0.03955654129
498	0.03943278622
499	0.03937108351
500	0.03930352409
501	0.03925610561
502	0.03916781991
503	0.03912478446
504	0.0390378478
505	0.03896072452
506	0.03885827002
507	0.03877311936
508	0.03870519062
509	0.0386204512
510	0.03854088818
511	0.03846115108
512	0.03841992365
513	0.0383521651
514	0.03825184968
515	0.03820220053
516	0.03815139469
517	0.03811092907
518	0.03805179382
519	0.03797436005
520	0.03791241626
521	0.03784616399
522	0.03779945811
523	0.03775815586
524	0.03770759404
525	0.03766797173
526	0.03760972999
527	0.03756275037
528	0.03752061889
529	0.03746893447
530	0.03738307574
531	0.03728391748
532	0.03721896045
533	0.03716261844
534	0.03709731227
535	0.03703403691
536	0.03696023514
537	0.03693880044
538	0.03689953949
539	0.03684232227
540	0.03681394803
541	0.03676692198
542	0.03669262373
543	0.03664952342
544	0.03658271297
545	0.03650381181
546	0.03642560895
547	0.03633035604
548	0.036294678
549	0.03624447693
550	0.03619472858
551	0.03615219601
552	0.03612243073
553	0.03604338124
554	0.03600933876
555	0.03593881059
556	0.03590190713
557	0.03587569736
558	0.03581302128
559	0.03577876995
560	0.03573459085
561	0.03571526562
562	0.03565095613
563	0.03559040283
564	0.03554027224
565	0.03550628555
566	0.03546978079
567	0.03536080006
568	0.03531428724
569	0.03525983017
570	0.03517441345
571	0.03513108376
572	0.03507170769
573	0.03501671628
574	0.03493802981
575	0.03485907728
576	0.0348265741
577	0.03478708617
578	0.03474081343
579	0.03469415582
580	0.03464186567
581	0.03458951753
582	0.03455360122
583	0.03451094506
584	0.03445647674
585	0.03438864058
586	0.03429896325
587	0.03426322572
588	0.03422200274
589	0.03418447008
590	0.03414641598
591	0.03410310172
592	0.03402332003
593	0.03388355998
594	0.03382334179
595	0.03379834604
596	0.0337413847
597	0.03371762838
598	0.03363201905
599	0.03359339614
600	0.03350751214
601	0.03347116632
602	0.03344004157
603	0.03339136306
604	0.0333577494
605	0.03332903597
606	0.03327013493
607	0.03323127648
608	0.03320953305
609	0.03316756575
610	0.03311868981
611	0.03304588363
612	0.03294960459
613	0.03287052922
614	0.03282213364
615	0.03277265393
616	0.03274612687
617	0.0326658368
618	0.03265298334
619	0.03261872692
620	0.03251034517
621	0.03245673929
622	0.03239024529
623	0.03237021782
624	0.03232652861
625	0.03225438642
626	0.03221006987
627	0.03213931438
628	0.03204912187
629	0.03198435408
630	0.03195844809
631	0.03194742392
632	0.03189071417
633	0.03182923307
634	0.03174344326
635	0.0316937561
636	0.03166944135
637	0.03160934938
638	0.03157205365
639	0.03154109706
640	0.03150879252
641	0.03147303352
642	0.03145900812
643	0.03141792345
644	0.03136271197
645	0.03132819626
646	0.03129094741
647	0.03125410261
648	0.0312266758
649	0.03118629565
650	0.03117611788
651	0.03110227555
652	0.03107516903
653	0.03103865773
654	0.03099697736
655	0.03098353913
656	0.03092006409
657	0.0308791518
658	0.03085133808
659	0.03082359058
660	0.03078981248
661	0.03075082237
662	0.03070793717
663	0.03065769013
664	0.0306053115
665	0.03052800374
666	0.03045004717
667	0.03042426048
668	0.03041281121
669	0.03039495516
670	0.03033872844
671	0.03030566374
672	0.03023097531
673	0.03016331869
674	0.03011289318
675	0.03007491377
676	0.03001697559
677	0.02997922822
678	0.02995746139
679	0.02989420578
680	0.02986583552
681	0.02982098333
682	0.02976921335
683	0.02973202697
684	0.0296728676
685	0.02962983278
686	0.02960396478
687	0.0295741832
688	0.02955609569
689	0.02948591809
690	0.0294514588
691	0.02943194869
692	0.02938892117
693	0.02934938388
694	0.02930801693
695	0.02928371302
696	0.0292423137
697	0.0291889329
698	0.02914741764
699	0.02911747648
700	0.02908375541
701	0.02904658504
702	0.02897296464
703	0.02894131809
704	0.02891449794
705	0.0288649235
706	0.02882638964
707	0.02877724506
708	0.02871499429
709	0.0286461608
710	0.028612908
711	0.0285685023
712	0.02854790853
713	0.02849298579
714	0.0284508628
715	0.028413688
716	0.02839439454
717	0.02837179978
718	0.02834412964
719	0.02831279748
720	0.02828605286
721	0.02824824884
722	0.02819967698
723	0.02815821569
724	0.02812245887
725	0.02807770109
726	0.02803342293
727	0.02801684391
728	0.02798628708
729	0.02793464994
730	0.02791076117
731	0.02784697618
732	0.02773298265
733	0.02772552982
734	0.02769995864
735	0.02767295259
736	0.02762780924
737	0.02760659041
738	0.02757231317
739	0.02751290946
740	0.02750592819
741	0.02747007282
742	0.02742351338
743	0.02739647298
744	0.02737783898
745	0.02735813287
746	0.02733627022
747	0.02732012555
748	0.02731084109
749	0.02725607349
750	0.02719988291
751	0.02715541763
752	0.02712704363
753	0.02710948746
754	0.02704458403
755	0.02702470346
756	0.02698807041
757	0.02696509419
758	0.02694216626
759	0.02692087239
760	0.02688091762
761	0.02684882515
762	0.02681446097
763	0.02679760751
764	0.02675795776
765	0.02670349957
766	0.02664765943
767	0.02660588845
768	0.02657224728
769	0.02651716288
770	0.02646722934
771	0.02642713114
772	0.02638541632
773	0.02636761599
774	0.02633787777
775	0.02629770708
776	0.02625534734
777	0.02624594471
778	0.02619857692
779	0.02617252779
780	0.02614366872
781	0.02612711707
782	0.02609913784
783	0.02607135179
784	0.02602964092
785	0.0259781255
786	0.02592690027
787	0.02588699284
788	0.02585801428
789	0.0258466111
790	0.02579265078
791	0.02575329567
792	0.02571343847
793	0.02568742579
794	0.02566060835
795	0.02558634267
796	0.02555264983
797	0.02552512345
798	0.02548647092
799	0.02547136707
800	0.0254426205
801	0.02541248821
802	0.02538476753
803	0.02533903876
804	0.02532915252
805	0.02528800535
806	0.02524837651
807	0.02520286835
808	0.02516588755
809	0.02514598925
810	0.02512512552
811	0.0250900758
812	0.02506903795
813	0.0250493761
814	0.02499080461
815	0.0249538314
816	0.02494343189
817	0.02492182104
818	0.0248924694
819	0.0248593117
820	0.0248035111
821	0.02477016683
822	0.0247429093
823	0.02470934921
824	0.02467474931
825	0.02465807367
826	0.02463156929
827	0.02459085078
828	0.02458159749
829	0.02456322817
830	0.02448863265
831	0.02445246582
832	0.02442912056
833	0.02440696404
834	0.02438033644
835	0.02432772095
836	0.02429147192
837	0.0242771917
838	0.02425295386
839	0.02424436916
840	0.02422627619
841	0.0241972487
842	0.02414329177
843	0.02411955048
844	0.02408832127
845	0.02406641891
846	0.02403952315
847	0.02400560091
848	0.02397221287
849	0.02389790202
850	0.02388332736
851	0.02384776356
852	0.02381239271
853	0.02378973316
854	0.02377638889
855	0.02375494086
856	0.02372464854
857	0.02371758866
858	0.02369005927
859	0.02367385706
860	0.02359342751
861	0.02356773156
862	0.02353699818
863	0.02350361789
864	0.02347952152
865	0.02344617358
866	0.02340762945
867	0.02339184083
868	0.02336736441
869	0.02333953614
870	0.02330742158
871	0.02328082916
872	0.02323796674
873	0.02322707735
874	0.02320968566
875	0.02317534695
876	0.02313051081
877	0.02311046628
878	0.02308479523
879	0.02304415807
880	0.02301274802
881	0.02298384744
882	0.02297340016
883	0.02292340527
884	0.02290624529
885	0.0228774673
886	0.02284591541
887	0.02281438987
888	0.02279200061
889	0.02274146856
890	0.02271910565
891	0.02270282853
892	0.02265362854
893	0.02262191405
894	0.02259383428
895	0.02255196257
896	0.02253977021
897	0.02249872326
898	0.02246972427
899	0.02245002479
900	0.02241835763
901	0.02239349898
902	0.02236752994
903	0.02232882758
904	0.02231050513
905	0.022288454
906	0.02226038386
907	0.02223595819
908	0.02219598672
909	0.02216554539
910	0.02213658463
911	0.02212139634
912	0.02210370829
913	0.0220775367
914	0.02204759074
915	0.02202255588
916	0.02199638361
917	0.0219675057
918	0.0219469409
919	0.0219299998
920	0.02190306354
921	0.02188227077
922	0.02187124156
923	0.0218529823
924	0.02183847748
925	0.02180189761
926	0.02178405903
927	0.02176692165
928	0.021759685
929	0.02173210006
930	0.02171008889
931	0.0216953146
932	0.02168158656
933	0.02166107239
934	0.02165060358
935	0.02163773995
936	0.02160594919
937	0.02159328025
938	0.02157783559
939	0.02153545446
940	0.02149992318
941	0.02148884861
942	0.02145960754
943	0.02144920382
944	0.02143352073
945	0.02142678914
946	0.02141675211
947	0.02137075797
948	0.02133884395
949	0.02131398958
950	0.02128262226
951	0.02124312105
952	0.02117323913
953	0.02114777004
954	0.02113433913
955	0.02111678306
956	0.02108752723
957	0.02108243727
958	0.02106894032
959	0.02102242178
960	0.02100005906
961	0.02099367796
962	0.02092961136
963	0.02090585793
964	0.02088999051
965	0.02085814305
966	0.02083788837
967	0.02082223036
968	0.02080039037
969	0.02076850009
970	0.02075183804
971	0.0206950384
972	0.0206882516
973	0.02065697313
974	0.02064404629
975	0.02060930443
976	0.02055302782
977	0.02054822059
978	0.02053467523
979	0.02051775099
980	0.02049077521
981	0.02046519893
982	0.02045956903
983	0.02045375642
984	0.02043284311
985	0.0203994847
986	0.02038907961
987	0.02032704202
988	0.0203060258
989	0.02028560196
990	0.02026301928
991	0.02024440631
992	0.02021711252
993	0.02019603803
994	0.02015898505
995	0.02015057177
996	0.02012017548
997	0.02011403635
998	0.0200822138
999	0.02006633673
